scenario_id,model_updated,n_train,stable_ratio,model_path
1,1,1,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160037_s001.mat
2,1,2,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160134_s002.mat
3,1,3,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160232_s003.mat
4,1,4,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160329_s004.mat
5,1,5,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160427_s005.mat
6,1,6,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160525_s006.mat
7,1,7,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160622_s007.mat
8,1,8,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160720_s008.mat
9,1,9,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160817_s009.mat
10,1,10,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_160915_s010.mat
11,1,11,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161013_s011.mat
12,1,12,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161111_s012.mat
13,1,13,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161208_s013.mat
14,1,14,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161306_s014.mat
15,1,15,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161404_s015.mat
16,1,16,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161502_s016.mat
17,1,17,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161600_s017.mat
18,1,18,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161657_s018.mat
19,1,19,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161755_s019.mat
20,1,20,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161853_s020.mat
21,1,21,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_161950_s021.mat
22,1,22,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_162048_s022.mat
23,1,23,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_162146_s023.mat
24,1,24,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_162244_s024.mat
25,1,25,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_162342_s025.mat
26,1,26,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_162440_s026.mat
27,1,27,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_162537_s027.mat
28,1,28,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_162635_s028.mat
29,1,29,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_162733_s029.mat
30,1,30,0,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/autosim_model_20260309_162831_s030.mat
