[AUTOSIM] Worker 4/4 | cleanup_scope=instance | domain=63 | gazebo_port=13048
[AUTOSIM] Wind physics src[mass=file:/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/sjtu_drone_description/urdf/sjtu_drone.urdf,thrust=file:/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/sjtu_drone_bringup/config/drone.yaml] m=1.477kg Tmax=30.00N margin=15.51N hover=17.52m/s landing=8.76m/s

[AUTOSIM] Start at 2026-03-20 17:36:03
[AUTOSIM] Scenario count: 300
[AUTOSIM] Initial model source: cold_start_placeholder
Server: (argc: 5) (argv[0]: /usr/local/MATLAB/R2024b/toolbox/ros/bin/glnxa64/libmwros2server) started (pid: 626296)
Current directory: "/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab"
[AUTOSIM] AprilTag callback-priority subscriber enabled on /landing_tag_state

[AUTOSIM] Scenario 1/300
[AUTOSIM] Adaptive policy=exploit | stable=0.50 unstable=0.50 boundary=0.00 unsafeRate=0.00
[AUTOSIM] Curriculum target_case=safe_land | wind=2.07@-127.4
[AUTOSIM] Launch started (pid=629408), hover=2.31, wind=2.07@-127.4
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=ok age=0.00s err=0.018 det=1 rx=317 | wind=stale age=Infs sp=0.00 dir=0.0 rx=0 | pose_age=0.00s
[AUTOSIM] s001 global pad estimate ready (n=5, x=0.51, y=0.04)
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=ok age=0.11s err=0.030 det=1 rx=328 | wind=ok age=0.21s sp=0.00 dir=0.0 rx=1 | pose_age=0.00s
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=ok age=0.00s err=0.047 det=1 rx=343 | wind=ok age=1.23s sp=0.00 dir=0.0 rx=1 | pose_age=0.00s
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=ok age=0.00s err=0.037 det=1 rx=357 | wind=ok age=0.61s sp=0.00 dir=0.0 rx=2 | pose_age=0.00s
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=ok age=0.00s err=0.063 det=1 rx=369 | wind=ok age=1.80s sp=1.61 dir=-127.6 rx=2 | pose_age=0.00s
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=ok age=0.00s err=0.111 det=1 rx=383 | wind=ok age=2.86s sp=2.10 dir=-137.7 rx=2 | pose_age=0.00s
[AUTOSIM] s001 landing lock acquired at (x=0.53, y=0.00), stable_frames=8
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=ok age=0.00s err=0.018 det=1 rx=398 | wind=ok age=0.00s sp=1.97 dir=-134.3 rx=3 | pose_age=0.00s
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=ok age=0.00s err=0.051 det=1 rx=412 | wind=ok age=0.00s sp=1.66 dir=-129.4 rx=4 | pose_age=0.00s
[AUTOSIM] s001 sensor_rx | loop=10.0Hz target=10.0Hz | pad=ok age=0.00s err=0.055 det=1 rx=427 | wind=ok age=1.09s sp=2.00 dir=-135.2 rx=4 | pose_age=0.00s
